iter	Passed	Remaining
0	329	32599
1	440	21572
2	551	17846
3	657	15787
4	762	14478
5	868	13608
6	972	12915
7	1075	12371
8	1180	11935
9	1300	11702
10	1406	11380
11	1509	11066
12	1614	10807
13	1722	10579
14	1824	10340
15	1929	10128
16	2034	9934
17	2141	9756
18	2258	9630
19	2364	9457
20	2470	9295
21	2573	9122
22	2680	8974
23	2786	8823
24	2890	8672
25	2995	8526
26	3098	8378
27	3209	8253
28	3327	8145
29	3430	8004
30	3534	7866
31	3642	7739
32	3750	7615
33	3857	7487
34	3959	7352
35	4064	7226
36	4168	7097
37	4273	6973
38	4380	6852
39	4482	6724
40	4586	6599
41	4693	6481
42	4796	6358
43	4900	6237
44	5006	6119
45	5109	5998
46	5214	5879
47	5320	5763
48	5424	5646
49	5527	5527
50	5635	5414
51	5737	5296
52	5840	5179
53	5950	5068
54	6052	4952
55	6154	4835
56	6261	4723
57	6364	4608
58	6470	4496
59	6576	4384
60	6678	4270
61	6784	4158
62	6886	4044
63	6991	3932
64	7095	3820
65	7201	3709
66	7303	3597
67	7409	3486
68	7513	3375
69	7619	3265
70	7722	3154
71	7826	3043
72	7931	2933
73	8035	2823
74	8138	2712
75	8242	2602
76	8344	2492
77	8447	2382
78	8549	2272
79	8658	2164
80	8761	2055
81	8862	1945
82	8965	1836
83	9068	1727
84	9169	1618
85	9273	1509
86	9374	1400
87	9480	1292
88	9584	1184
89	9689	1076
90	9792	968
91	9899	860
92	9999	752
93	10105	645
94	10207	537
95	10310	429
96	10429	322
97	10530	214
98	10631	107
99	10738	0
